Year,Month,Anomaly
1990,01,0.39
1990,02,0.40
1990,03,0.75
1990,04,0.61
1990,05,0.52
1990,06,0.39
1990,07,0.42
1990,08,0.36
1990,09,0.32
1990,10,0.42
1990,11,0.41
1990,12,0.43
1991,01,0.41
1991,02,0.50
1991,03,0.37
1991,04,0.52
1991,05,0.42
1991,06,0.54
1991,07,0.48
1991,08,0.42
1991,09,0.42
1991,10,0.33
1991,11,0.30
1991,12,0.30
1992,01,0.43
1992,02,0.43
1992,03,0.48
1992,04,0.30
1992,05,0.34
1992,06,0.30
1992,07,0.14
1992,08,0.11
1992,09,0.04
1992,10,0.06
1992,11,0.05
1992,12,0.20
1993,01,0.34
1993,02,0.40
1993,03,0.37
1993,04,0.32
1993,05,0.30
1993,06,0.31
1993,07,0.27
1993,08,0.18
1993,09,0.19
1993,10,0.26
1993,11,0.08
1993,12,0.21
1994,01,0.23
1994,02,0.06
1994,03,0.30
1994,04,0.40
1994,05,0.33
1994,06,0.43
1994,07,0.32
1994,08,0.25
1994,09,0.35
1994,10,0.44
1994,11,0.43
1994,12,0.39
1995,01,0.54
1995,02,0.76
1995,03,0.51
1995,04,0.50
1995,05,0.33
1995,06,0.47
1995,07,0.50
1995,08,0.53
1995,09,0.42
1995,10,0.44
1995,11,0.46
1995,12,0.31
1996,01,0.28
1996,02,0.49
1996,03,0.38
1996,04,0.34
1996,05,0.33
1996,06,0.30
1996,07,0.37
1996,08,0.45
1996,09,0.29
1996,10,0.21
1996,11,0.40
1996,12,0.36
1997,01,0.26
1997,02,0.37
1997,03,0.52
1997,04,0.39
1997,05,0.39
1997,06,0.56
1997,07,0.43
1997,08,0.47
1997,09,0.61
1997,10,0.64
1997,11,0.63
1997,12,0.58
1998,01,0.60
1998,02,0.81
1998,03,0.64
1998,04,0.72
1998,05,0.70
1998,06,0.74
1998,07,0.71
1998,08,0.72
1998,09,0.50
1998,10,0.44
1998,11,0.45
1998,12,0.58
1999,01,0.47
1999,02,0.65
1999,03,0.36
1999,04,0.36
1999,05,0.32
1999,06,0.41
1999,07,0.38
1999,08,0.38
1999,09,0.42
1999,10,0.34
1999,11,0.36
1999,12,0.47
2000,01,0.32
2000,02,0.54
2000,03,0.53
2000,04,0.59
2000,05,0.37
2000,06,0.39
2000,07,0.41
2000,08,0.44
2000,09,0.45
2000,10,0.31
2000,11,0.30
2000,12,0.30
2001,01,0.46
2001,02,0.43
2001,03,0.54
2001,04,0.53
2001,05,0.57
2001,06,0.53
2001,07,0.62
2001,08,0.54
2001,09,0.55
2001,10,0.50
2001,11,0.69
2001,12,0.62
2002,01,0.68
2002,02,0.68
2002,03,0.83
2002,04,0.56
2002,05,0.66
2002,06,0.58
2002,07,0.64
2002,08,0.56
2002,09,0.61
2002,10,0.57
2002,11,0.57
2002,12,0.51
2003,01,0.71
2003,02,0.62
2003,03,0.59
2003,04,0.57
2003,05,0.60
2003,06,0.50
2003,07,0.58
2003,08,0.65
2003,09,0.69
2003,10,0.75
2003,11,0.56
2003,12,0.73
2004,01,0.62
2004,02,0.70
2004,03,0.67
2004,04,0.62
2004,05,0.40
2004,06,0.44
2004,07,0.37
2004,08,0.49
2004,09,0.55
2004,10,0.62
2004,11,0.70
2004,12,0.54
2005,01,0.77
2005,02,0.63
2005,03,0.74
2005,04,0.69
2005,05,0.66
2005,06,0.67
2005,07,0.65
2005,08,0.60
2005,09,0.71
2005,10,0.74
2005,11,0.77
2005,12,0.72
2006,01,0.60
2006,02,0.76
2006,03,0.65
2006,04,0.55
2006,05,0.55
2006,06,0.64
2006,07,0.57
2006,08,0.71
2006,09,0.67
2006,10,0.69
2006,11,0.69
2006,12,0.78
2007,01,0.92
2007,02,0.71
2007,03,0.68
2007,04,0.78
2007,05,0.64
2007,06,0.59
2007,07,0.59
2007,08,0.57
2007,09,0.60
2007,10,0.60
2007,11,0.57
2007,12,0.49
2008,01,0.28
2008,02,0.33
2008,03,0.71
2008,04,0.52
2008,05,0.51
2008,06,0.49
2008,07,0.59
2008,08,0.53
2008,09,0.62
2008,10,0.68
2008,11,0.70
2008,12,0.59
2009,01,0.67
2009,02,0.54
2009,03,0.53
2009,04,0.58
2009,05,0.63
2009,06,0.68
2009,07,0.74
2009,08,0.71
2009,09,0.76
2009,10,0.69
2009,11,0.76
2009,12,0.72
2010,01,0.76
2010,02,0.83
2010,03,0.90
2010,04,0.88
2010,05,0.78
2010,06,0.70
2010,07,0.68
2010,08,0.65
2010,09,0.66
2010,10,0.69
2010,11,0.77
2010,12,0.51
2011,01,0.55
2011,02,0.51
2011,03,0.65
2011,04,0.67
2011,05,0.56
2011,06,0.62
2011,07,0.70
2011,08,0.70
2011,09,0.62
2011,10,0.66
2011,11,0.55
2011,12,0.59
2012,01,0.51
2012,02,0.52
2012,03,0.54
2012,04,0.72
2012,05,0.75
2012,06,0.70
2012,07,0.64
2012,08,0.67
2012,09,0.75
2012,10,0.78
2012,11,0.75
2012,12,0.53
2013,01,0.68
2013,02,0.60
2013,03,0.65
2013,04,0.60
2013,05,0.66
2013,06,0.71
2013,07,0.62
2013,08,0.69
2013,09,0.76
2013,10,0.68
2013,11,0.79
2013,12,0.71
2014,01,0.75
2014,02,0.58
2014,03,0.80
2014,04,0.79
2014,05,0.83
2014,06,0.72
2014,07,0.65
2014,08,0.83
2014,09,0.85
2014,10,0.79
2014,11,0.67
2014,12,0.80
2015,01,0.84
2015,02,0.88
2015,03,0.94
2015,04,0.82
2015,05,0.83
2015,06,0.87
2015,07,0.79
2015,08,0.84
2015,09,0.94
2015,10,1.07
2015,11,1.05
2015,12,1.13
2016,01,1.20
2016,02,1.34
2016,03,1.33
2016,04,1.14
2016,05,0.96
2016,06,0.85
2016,07,0.88
2016,08,1.00
2016,09,0.96
2016,10,0.87
2016,11,0.93
2016,12,0.90
2017,01,1.04
2017,02,1.10
2017,03,1.11
2017,04,0.95
2017,05,0.91
2017,06,0.78
2017,07,0.86
2017,08,0.88
2017,09,0.87
2017,10,0.92
2017,11,0.89
2017,12,0.96
2018,01,0.84
2018,02,0.89
2018,03,0.88
2018,04,0.91
2018,05,0.84
2018,06,0.81
2018,07,0.85
2018,08,0.82
2018,09,0.83
2018,10,1.02
2018,11,0.85
2018,12,0.95
2019,01,0.93
2019,02,0.92
2019,03,1.15
2019,04,1.05
2019,05,0.91
2019,06,0.92
2019,07,0.93
2019,08,0.94
2019,09,0.95
2019,10,1.02
2019,11,0.99
2019,12,1.13
2020,01,1.16
2020,02,1.22
2020,03,1.14
2020,04,1.14
2020,05,1.00
2020,06,0.94
2020,07,0.92
2020,08,0.91
2020,09,1.00
2020,10,0.91
2020,11,1.07
2020,12,0.83
2021,01,0.83
2021,02,0.65
2021,03,0.89
2021,04,0.80
2021,05,0.82
2021,06,0.85
2021,07,0.91
2021,08,0.88
2021,09,0.94
2021,10,0.99
2021,11,0.94
2021,12,0.90
2022,01,0.92
2022,02,0.90
2022,03,1.07
2022,04,0.89
2022,05,0.83
2022,06,0.93
2022,07,0.91
2022,08,0.93
2022,09,0.88
2022,10,0.96
2022,11,0.75
2022,12,0.82
2023,01,0.89
2023,02,1.02
2023,03,1.22
2023,04,0.99
2023,05,0.97
2023,06,1.08
2023,07,1.19
2023,08,1.27
2023,09,1.44
2023,10,1.37
2023,11,1.43
2023,12,1.39
